Time,epoch,optimize,reward,score,epsilon
"2022-01-05 23:56:20,567",101,2909,0.4,52,0.098272
"2022-01-05 23:56:26,574",102,2937,0.4,50,0.098257
"2022-01-05 23:56:31,853",103,2961,0.2,42,0.098244
"2022-01-05 23:56:37,139",104,2984,0.1,42,0.098232
"2022-01-05 23:56:45,983",105,3024,1,74,0.098211
"2022-01-05 23:56:51,108",106,3048,0.2,42,0.098198
"2022-01-05 23:56:57,327",107,3078,0.5,52,0.098182
"2022-01-05 23:57:03,298",108,3108,0.5,50,0.098166
"2022-01-05 23:57:09,583",109,3138,0.5,51,0.09815
"2022-01-05 23:57:14,798",110,3162,0.2,42,0.098137
"2022-01-05 23:57:20,195",111,3184,0.1,43,0.098125
"2022-01-05 23:57:25,478",112,3208,0.2,42,0.098112
"2022-01-05 23:57:30,733",113,3232,0.2,42,0.098099
"2022-01-05 23:57:35,954",114,3256,0.2,42,0.098086
"2022-01-05 23:57:41,077",115,3276,0,42,0.098075
"2022-01-05 23:57:47,347",116,3309,0.6,52,0.098058
"2022-01-05 23:58:00,022",117,3360,1.5,108,0.098032
"2022-01-05 23:58:05,415",118,3385,0.2,42,0.098019
"2022-01-05 23:58:11,148",119,3409,0.2,48,0.098006
"2022-01-05 23:58:16,255",120,3431,0.1,42,0.097994
"2022-01-05 23:58:22,624",121,3459,0.4,51,0.097979
"2022-01-05 23:58:27,887",122,3481,0.1,42,0.097967
"2022-01-05 23:58:32,983",123,3503,0.1,42,0.097955
"2022-01-05 23:58:38,099",124,3525,0.1,42,0.097943
"2022-01-05 23:58:43,290",125,3547,0.1,42,0.097931
"2022-01-05 23:58:48,507",126,3566,-0.1,42,0.097921
"2022-01-05 23:58:54,583",127,3589,0.1,50,0.097909
"2022-01-05 23:58:59,700",128,3609,0,42,0.097898
"2022-01-05 23:59:05,152",129,3633,0.2,42,0.097885
"2022-01-05 23:59:10,664",130,3657,0.2,43,0.097872
"2022-01-05 23:59:16,049",131,3679,0.1,42,0.09786
"2022-01-05 23:59:21,214",132,3697,-0.1,42,0.09785
"2022-01-05 23:59:26,416",133,3719,0.1,42,0.097838
"2022-01-05 23:59:31,846",134,3743,0.2,42,0.097825
"2022-01-05 23:59:37,863",135,3771,0.3,48,0.097811
"2022-01-05 23:59:42,901",136,3793,0.1,42,0.097799
"2022-01-05 23:59:47,939",137,3815,0.1,42,0.097787
"2022-01-05 23:59:53,020",138,3837,0.1,42,0.097775
"2022-01-05 23:59:58,363",139,3861,0.2,42,0.097762
"2022-01-06 00:00:03,723",140,3883,0.1,42,0.09775
"2022-01-06 00:00:08,836",141,3903,0,42,0.097739
"2022-01-06 00:00:13,999",142,3925,0.1,42,0.097727
"2022-01-06 00:00:20,504",143,3952,0.3,52,0.097713
"2022-01-06 00:00:25,723",144,3974,0.1,42,0.097701
"2022-01-06 00:00:32,173",145,4002,0.4,52,0.097686
